,0Replay_id,Cluster
0,4-2-2-63454-5-2018-03-28T16-40-06-564,4
1,4-2-1-62848-5-2018-03-09T15-25-20-446,4
2,4-2-1-62848-5-2018-03-27T04-57-59-429,2
3,4-2-2-63454-5-2018-03-28T21-08-50-730,4
4,4-2-1-62848-5-2018-03-27T08-40-03-529,4
5,4-2-1-62848-5-2018-03-09T18-47-34-686,4
6,4-2-1-62848-5-2018-03-27T08-52-58-281,3
7,4-2-2-63454-5-2018-03-28T21-56-51-472,3
8,4-2-1-62848-5-2018-03-09T20-07-20-625,4
9,4-2-1-62848-5-2018-03-27T11-51-38-258,4
10,4-2-1-62848-5-2018-03-27T11-58-32-357,4
11,4-2-1-62848-5-2018-03-27T12-02-58-282,0
12,4-2-1-62848-5-2018-03-27T12-39-38-1006,4
13,4-2-1-62848-5-2018-03-10T00-11-34-779,4
14,4-2-1-62848-5-2018-03-27T12-43-59-870,4
15,4-2-2-63454-5-2018-03-29T01-49-57-607,4
16,4-2-1-62848-5-2018-03-10T00-13-02-445,4
17,4-2-1-62848-5-2018-03-27T12-57-26-629,4
18,4-2-1-62848-5-2018-03-27T13-00-49-422,3
19,4-2-1-62848-5-2018-03-27T13-06-27-249,4
20,4-2-1-62848-5-2018-03-10T02-25-00-305,4
21,4-2-2-63454-5-2018-03-29T07-40-39-363,4
22,4-2-1-62848-5-2018-03-27T16-52-47-377,4
23,4-2-1-62848-5-2018-03-27T18-27-15-317,4
24,4-2-1-62848-5-2018-03-27T18-38-01-688,4
25,4-2-1-62848-6-2018-03-07T08-47-31-572,3
26,4-2-1-62848-6-2018-03-07T08-52-00-403,4
27,4-2-1-62848-6-2018-03-07T08-59-39-1036,4
28,4-2-2-63454-5-2018-03-29T14-33-53-993,4
29,4-2-1-62848-5-2018-03-10T08-05-55-398,4
30,4-2-1-62848-6-2018-03-07T09-08-48-342,3
31,4-2-1-62848-6-2018-03-07T09-12-22-292,4
32,4-2-1-62848-6-2018-03-07T09-21-22-652,4
33,4-2-1-62848-6-2018-03-07T09-24-57-992,4
34,4-2-1-62848-5-2018-03-10T09-24-51-517,3
35,4-2-1-62848-6-2018-03-07T09-54-51-762,0
36,4-2-1-62848-6-2018-03-07T10-26-03-757,4
37,4-2-1-62848-6-2018-03-07T10-28-25-616,4
38,4-2-1-62848-5-2018-03-10T11-31-24-194,4
39,4-2-1-62848-6-2018-03-07T18-22-27-1651,4
40,4-2-1-62848-5-2018-03-10T11-57-46-358,4
41,4-2-2-63454-5-2018-03-29T22-26-52-294,4
42,4-2-1-62848-6-2018-03-07T19-12-07-739,4
43,4-2-2-63454-5-2018-03-29T22-27-48-290,4
44,4-2-1-62848-6-2018-03-07T19-21-26-204,3
45,4-2-2-63454-5-2018-03-29T23-57-00-356,1
46,4-2-1-62848-6-2018-03-08T04-36-13-282,4
47,4-2-2-63454-5-2018-03-30T03-39-41-208,0
48,4-2-1-62848-6-2018-03-08T05-05-34-401,4
49,4-2-1-62848-6-2018-03-08T08-20-55-519,4
50,4-2-1-62848-6-2018-03-08T09-21-29-275,4
51,4-2-1-62848-6-2018-03-08T09-53-44-618,4
52,4-2-1-62848-6-2018-03-08T10-29-36-881,4
53,4-2-1-62848-6-2018-03-08T12-04-47-305,4
54,4-2-1-62848-6-2018-03-08T12-11-39-271,4
55,4-2-1-62848-5-2018-03-10T15-17-27-515,3
56,4-2-1-62848-6-2018-03-08T12-44-20-381,4
57,4-2-1-62848-6-2018-03-08T12-48-32-646,0
58,4-2-2-63454-5-2018-03-30T08-00-32-326,2
59,4-2-1-62848-6-2018-03-08T13-43-57-379,2
60,4-2-1-62848-5-2018-03-10T15-44-23-851,4
61,4-2-1-62848-6-2018-03-08T14-29-41-275,4
62,4-2-1-62848-6-2018-03-08T14-39-32-605,4
63,4-2-1-62848-6-2018-03-08T14-48-32-405,4
64,4-2-2-63454-5-2018-03-30T08-32-42-255,2
65,4-2-1-62848-6-2018-03-08T14-58-17-914,4
66,4-2-2-63454-5-2018-03-30T08-46-31-700,2
67,4-2-1-62848-6-2018-03-08T15-04-48-526,3
68,4-2-1-62848-6-2018-03-08T15-12-02-640,4
69,4-2-1-62848-5-2018-03-10T16-22-07-387,4
70,4-2-1-62848-5-2018-03-10T17-05-40-386,4
71,4-2-1-62848-6-2018-03-08T15-36-54-694,4
72,4-2-2-63454-5-2018-03-30T09-03-18-959,1
73,4-2-1-62848-6-2018-03-08T16-03-38-894,3
74,4-2-1-62848-6-2018-03-08T23-58-37-740,4
75,4-2-2-63454-5-2018-03-30T14-01-41-555,4
76,4-2-1-62848-5-2018-03-10T18-57-39-497,4
77,4-2-1-62848-6-2018-03-09T00-07-28-1068,4
78,4-2-1-62848-6-2018-03-09T00-09-03-788,4
79,4-2-1-62848-6-2018-03-09T00-12-14-428,2
80,4-2-1-62848-6-2018-03-09T00-17-01-439,4
81,4-2-1-62848-6-2018-03-09T00-52-49-704,3
82,4-2-1-62848-6-2018-03-09T01-35-54-555,4
83,4-2-1-62848-6-2018-03-09T02-50-34-383,4
84,4-2-1-62848-6-2018-03-09T13-05-36-452,4
85,4-2-1-62848-5-2018-03-10T20-56-53-610,4
86,4-2-1-62848-6-2018-03-09T13-26-50-303,4
87,4-2-1-62848-6-2018-03-09T14-51-40-818,4
88,4-2-1-62848-5-2018-03-10T21-41-07-255,4
89,4-2-1-62848-6-2018-03-09T15-40-02-460,4
90,4-2-1-62848-6-2018-03-09T15-41-22-788,4
91,4-2-1-62848-6-2018-03-09T15-57-03-422,3
92,4-2-1-62848-6-2018-03-09T16-15-35-383,4
93,4-2-1-62848-6-2018-03-09T16-21-05-297,4
94,4-2-1-62848-6-2018-03-09T16-29-03-1385,4
95,4-2-1-62848-5-2018-03-11T00-21-15-500,4
96,4-2-1-62848-6-2018-03-10T01-54-48-393,3
97,4-2-1-62848-6-2018-03-10T03-12-53-703,3
98,4-2-2-63454-5-2018-03-31T00-32-58-935,4
99,4-2-1-62848-6-2018-03-10T03-37-10-458,4
100,4-2-1-62848-6-2018-03-10T03-56-22-274,4
101,4-2-2-63454-5-2018-03-31T00-45-48-577,4
102,4-2-1-62848-6-2018-03-10T03-58-51-255,4
103,4-2-1-62848-6-2018-03-10T04-40-25-478,4
104,4-2-1-62848-6-2018-03-10T05-16-03-367,4
105,4-2-1-62848-6-2018-03-10T05-34-37-521,4
106,4-2-1-62848-6-2018-03-10T05-35-25-423,2
107,4-2-1-62848-6-2018-03-10T05-49-09-876,4
108,4-2-1-62848-6-2018-03-10T05-53-27-519,2
109,4-2-1-62848-6-2018-03-10T06-27-53-624,4
110,4-2-1-62848-6-2018-03-10T07-12-50-554,4
111,4-2-1-62848-6-2018-03-10T15-36-42-604,4
112,4-2-1-62848-6-2018-03-10T15-56-47-488,4
113,4-2-1-62848-6-2018-03-10T16-23-55-765,4
114,4-2-1-62848-6-2018-03-10T16-37-41-395,1
115,4-2-1-62848-5-2018-03-11T03-22-34-277,0
116,4-2-1-62848-6-2018-03-10T17-33-57-250,4
117,4-2-1-62848-5-2018-03-11T03-23-02-717,4
118,4-2-1-62848-6-2018-03-10T23-29-51-667,3
119,4-2-1-62848-6-2018-03-11T00-47-47-563,4
120,4-2-1-62848-5-2018-03-11T04-49-49-209,0
121,4-2-1-62848-6-2018-03-11T01-01-19-250,2
122,4-2-1-62848-6-2018-03-11T03-17-42-436,4
123,4-2-2-63454-5-2018-03-31T11-59-00-847,4
124,4-2-1-62848-6-2018-03-11T03-38-02-539,3
125,4-2-1-62848-6-2018-03-11T03-49-39-334,3
126,4-2-2-63454-5-2018-03-31T12-17-13-340,4
127,4-2-1-62848-6-2018-03-11T03-58-26-363,4
128,4-2-1-62848-6-2018-03-11T05-26-17-891,4
129,4-2-2-63454-5-2018-03-31T12-24-42-810,4
130,4-2-1-62848-6-2018-03-11T05-28-02-643,4
131,4-2-1-62848-6-2018-03-11T15-52-10-343,4
132,4-2-1-62848-6-2018-03-11T17-07-12-385,4
133,4-2-1-62848-6-2018-03-11T18-04-26-254,4
134,4-2-2-63454-5-2018-03-31T16-18-39-282,4
135,4-2-1-62848-6-2018-03-11T18-05-00-620,4
136,4-2-1-62848-6-2018-03-11T18-19-30-549,4
137,4-2-2-63454-5-2018-03-31T16-27-57-450,3
138,4-2-1-62848-6-2018-03-11T18-34-59-397,4
139,4-2-1-62848-6-2018-03-11T18-53-37-631,4
140,4-2-1-62848-6-2018-03-11T18-55-01-301,4
141,4-2-1-62848-6-2018-03-11T19-23-36-787,4
142,4-2-2-63454-5-2018-03-31T17-36-25-435,4
143,4-2-1-62848-6-2018-03-11T19-39-49-721,4
144,4-2-1-62848-6-2018-03-11T20-48-25-905,3
145,4-2-2-63454-5-2018-04-01T01-10-20-270,4
146,4-2-1-62848-6-2018-03-12T07-37-09-548,4
147,4-2-1-62848-6-2018-03-12T07-41-51-936,4
148,4-2-2-63454-5-2018-04-01T01-18-28-824,4
149,4-2-1-62848-6-2018-03-12T07-54-13-1183,0
150,4-2-1-62848-5-2018-03-11T15-25-13-259,0
151,4-2-1-62848-5-2018-03-11T15-46-51-582,4
152,4-2-1-62848-6-2018-03-12T08-10-31-750,4
153,4-2-1-62848-5-2018-03-11T15-55-26-332,4
154,4-2-1-62848-4-2018-03-08T12-38-01-469,2
155,4-2-1-62848-6-2018-03-12T08-23-58-644,3
156,4-2-1-62848-6-2018-03-12T08-39-41-593,4
157,4-2-1-62848-5-2018-03-11T16-02-04-690,0
158,4-2-1-62848-6-2018-03-12T08-54-48-594,4
159,4-2-1-62848-6-2018-03-12T09-01-59-562,3
160,4-2-1-62848-5-2018-03-11T16-19-11-1080,3
161,4-2-1-62848-6-2018-03-12T09-10-43-1018,3
162,4-2-1-62848-6-2018-03-12T09-20-28-580,4
163,4-2-1-62848-6-2018-03-12T22-32-32-486,0
164,4-2-2-63454-5-2018-04-01T08-38-12-769,4
165,4-2-1-62848-6-2018-03-12T23-03-13-749,4
166,4-2-1-62848-6-2018-03-12T23-11-38-825,4
167,4-2-1-62848-6-2018-03-12T23-17-52-412,2
168,4-2-2-63454-5-2018-04-01T09-16-07-400,4
169,4-2-1-62848-6-2018-03-12T23-25-53-604,4
170,4-2-1-62848-6-2018-03-12T23-32-46-806,4
171,4-2-2-63454-5-2018-04-01T09-54-45-610,4
172,4-2-1-62848-6-2018-03-12T23-56-06-1374,0
173,4-2-1-62848-6-2018-03-13T00-04-06-235,4
174,4-2-1-62848-6-2018-03-13T10-32-01-227,2
175,4-2-1-62848-6-2018-03-13T10-40-53-343,0
176,4-2-1-62848-6-2018-03-13T11-02-50-341,0
177,4-2-1-62848-6-2018-03-13T11-04-40-206,0
178,4-2-1-62848-6-2018-03-13T12-01-50-765,4
179,4-2-1-62848-5-2018-03-12T00-00-16-418,4
180,4-2-1-62848-6-2018-03-13T13-03-33-435,4
181,4-2-2-63454-5-2018-04-01T15-46-49-343,4
182,4-2-1-62848-6-2018-03-13T13-09-42-685,4
183,4-2-1-62848-6-2018-03-13T14-12-53-323,4
184,4-2-2-63454-5-2018-04-01T16-08-32-366,4
185,4-2-1-62848-6-2018-03-13T14-48-28-464,2
186,4-2-1-62848-6-2018-03-13T15-17-32-524,0
187,4-2-1-62848-6-2018-03-13T16-19-41-365,2
188,4-2-1-62848-6-2018-03-13T16-22-12-382,4
189,4-2-1-62848-6-2018-03-13T16-34-15-692,4
190,4-2-1-62848-6-2018-03-13T23-02-57-501,4
191,4-2-1-62848-6-2018-03-13T23-15-14-259,4
192,4-2-1-62848-6-2018-03-13T23-58-20-226,4
193,4-2-1-62848-6-2018-03-14T00-11-03-358,4
194,4-2-1-62848-5-2018-03-12T02-00-18-520,4
195,4-2-1-62848-6-2018-03-14T01-43-02-390,4
196,4-2-1-62848-6-2018-03-14T01-45-40-314,4
197,4-2-1-62848-6-2018-03-14T01-46-22-326,4
198,4-2-1-62848-5-2018-03-12T02-53-31-312,4
199,4-2-1-62848-6-2018-03-14T02-29-33-460,1
200,4-2-1-62848-6-2018-03-14T02-44-32-278,4
201,4-2-1-62848-5-2018-03-12T03-59-46-630,3
202,4-2-1-62848-6-2018-03-14T02-46-32-207,4
203,4-2-1-62848-6-2018-03-14T03-57-47-291,4
204,4-2-1-62848-6-2018-03-14T03-59-31-501,4
205,4-2-1-62848-6-2018-03-14T03-59-34-589,4
206,4-2-1-62848-6-2018-03-14T05-29-03-1598,4
207,4-2-1-62848-6-2018-03-14T13-49-03-441,4
208,4-2-1-62848-6-2018-03-14T14-02-42-576,4
209,4-2-1-62848-6-2018-03-14T14-20-20-433,4
210,4-2-1-62848-6-2018-03-14T16-09-33-230,0
211,4-2-1-62848-6-2018-03-14T16-28-53-372,3
212,4-2-1-62848-5-2018-03-12T07-49-49-472,4
213,4-2-1-62848-6-2018-03-14T17-12-24-398,4
214,4-2-1-62848-6-2018-03-14T17-13-48-613,4
215,4-2-2-63454-5-2018-04-02T04-26-41-412,4
216,4-2-1-62848-6-2018-03-14T17-15-22-355,2
217,4-2-1-62848-6-2018-03-14T17-31-31-562,4
218,4-2-1-62848-6-2018-03-14T17-43-45-512,0
219,4-2-1-62848-6-2018-03-14T17-57-07-562,3
220,4-2-1-62848-6-2018-03-14T18-19-36-651,4
221,4-2-1-62848-6-2018-03-14T19-46-40-339,3
222,4-2-1-62848-6-2018-03-15T02-02-06-613,4
223,4-2-1-62848-6-2018-03-15T02-16-28-454,4
224,4-2-1-62848-6-2018-03-15T03-59-00-697,4
225,4-2-2-63454-5-2018-04-02T11-55-09-813,3
226,4-2-1-62848-6-2018-03-15T06-01-18-465,0
227,4-2-1-62848-6-2018-03-15T06-10-48-285,3
228,4-2-1-62848-6-2018-03-15T06-38-51-465,4
229,4-2-2-63454-5-2018-04-02T12-42-52-496,3
230,4-2-1-62848-6-2018-03-15T06-55-47-728,4
231,4-2-1-62848-6-2018-03-15T07-45-00-569,4
232,4-2-1-62848-5-2018-03-12T11-44-43-323,4
233,4-2-2-63454-5-2018-04-02T12-50-54-965,3
234,4-2-1-62848-6-2018-03-15T08-07-12-513,3
235,4-2-1-62848-6-2018-03-15T08-14-45-314,4
236,4-2-1-62848-5-2018-03-12T12-03-17-317,4
237,4-2-1-62848-6-2018-03-15T08-16-15-615,2
238,4-2-1-62848-6-2018-03-15T09-20-46-601,3
239,4-2-1-62848-6-2018-03-15T16-42-46-364,4
240,4-2-1-62848-6-2018-03-15T17-01-41-293,3
241,4-2-1-62848-6-2018-03-15T17-03-48-880,0
242,4-2-1-62848-6-2018-03-15T17-06-45-297,4
243,4-2-1-62848-6-2018-03-15T17-15-37-603,3
244,4-2-1-62848-6-2018-03-15T17-21-28-312,3
245,4-2-1-62848-6-2018-03-15T17-28-29-348,4
246,4-2-1-62848-5-2018-03-12T14-42-11-361,4
247,4-2-1-62848-5-2018-03-12T16-23-46-251,4
